#           x             y             z             p           U_x           U_y           U_z
    -0.265625     -0.984375           0.5       92.5925       36.0075       7.05618  -1.38324e-19
        -0.25     -0.984375           0.5       93.2427       35.9963       7.02494  -4.31754e-19
    -0.234375     -0.984375           0.5       94.0887       35.9792       6.99492  -9.95476e-19
     -0.21875     -0.984375           0.5       94.8508       35.9688       6.97105  -1.54585e-19
    -0.203125     -0.984375           0.5        95.972       35.9475       6.94299   3.43955e-19
      -0.1875     -0.984375           0.5       96.7051       35.9326       6.91073   1.06696e-18
    -0.171875     -0.984375           0.5       97.3432       35.9186       6.87413   4.50903e-19
     -0.15625     -0.984375           0.5        97.843       35.9076       6.83779  -8.49444e-21
    -0.140625     -0.984375           0.5       98.5454       35.8988       6.80664  -3.82108e-19
       -0.125     -0.984375           0.5       99.0626       35.8905       6.76981   -7.8778e-19
    -0.109375     -0.984375           0.5       98.9565       35.8904       6.73665  -8.95208e-19
     -0.09375     -0.984375           0.5       99.8627       35.8764       6.70174   1.13313e-18
    -0.078125     -0.984375           0.5       100.415       35.8704        6.6682    9.5651e-19
      -0.0625     -0.984375           0.5       101.153       35.8611       6.63025   1.63484e-20
    -0.046875     -0.984375           0.5       101.534       35.8551       6.59598   1.48784e-19
     -0.03125     -0.984375           0.5        101.91       35.8551       6.55732  -2.21053e-19
    -0.015625     -0.984375           0.5       101.991        35.856       6.52046   -2.1702e-19
  6.78494e-16     -0.984375           0.5       102.361       35.8533       6.48401  -2.93849e-19
     0.015625     -0.984375           0.5       102.831       35.8483       6.44889  -4.50981e-19
      0.03125     -0.984375           0.5        103.19        35.847       6.41045  -1.90254e-19
     0.046875     -0.984375           0.5       103.503       35.8474       6.37123   2.52326e-20
       0.0625     -0.984375           0.5        103.94       35.8486       6.33014  -1.52645e-21
     0.078125     -0.984375           0.5       103.911       35.8542       6.29531  -1.82566e-20
      0.09375     -0.984375           0.5       103.837       35.8581          6.26  -2.00973e-19
     0.109375     -0.984375           0.5       103.877       35.8651        6.2232   1.24371e-19
        0.125     -0.984375           0.5       103.961       35.8696       6.18925   5.70531e-19
     0.140625     -0.984375           0.5       103.806        35.879       6.15851  -6.51985e-19
      0.15625     -0.984375           0.5       103.605       35.8851       6.11339  -4.35781e-20
     0.171875     -0.984375           0.5        103.38       35.8957       6.07462    1.0714e-20
       0.1875     -0.984375           0.5       103.681       35.9006       6.04555   2.45045e-21
     0.203125     -0.984375           0.5       103.383       35.9166       6.01212   3.31287e-20
      0.21875     -0.984375           0.5       103.019       35.9331       5.97637   7.44064e-20
     0.234375     -0.984375           0.5        103.17       35.9403       5.94461   -7.0948e-20
         0.25     -0.984375           0.5       102.942       35.9532       5.91204   9.65045e-20
     0.265625     -0.984375           0.5        102.64       35.9675       5.87942   2.13398e-19
      0.28125     -0.984375           0.5       102.217       35.9834       5.84648    1.5442e-19
     0.296875     -0.984375           0.5       101.818       35.9987       5.81365   7.18185e-20
       0.3125     -0.984375           0.5       101.405       36.0168       5.78174   6.03721e-19
     0.328125     -0.984375           0.5        100.99       36.0346       5.75151    7.4188e-19
      0.34375     -0.984375           0.5       100.592       36.0507       5.72344     4.496e-19
     0.359375     -0.984375           0.5       99.9087       36.0726       5.69575    7.2679e-19
        0.375     -0.984375           0.5       99.4788       36.0904       5.66442  -5.18328e-21
     0.390625     -0.984375           0.5       98.9415       36.1096       5.63955  -4.82732e-19
      0.40625     -0.984375           0.5       98.4546       36.1307       5.61083   1.33068e-19
     0.421875     -0.984375           0.5       97.7831       36.1498       5.58565  -3.53699e-19
       0.4375     -0.984375           0.5       97.2245       36.1697       5.56313  -2.67819e-19
     0.453125     -0.984375           0.5       96.8813       36.1904       5.53967  -2.45284e-19
      0.46875     -0.984375           0.5       96.1422       36.2144       5.51726   3.16601e-19
     0.484375     -0.984375           0.5       95.2289       36.2365       5.48993   2.62059e-19
          0.5     -0.984375           0.5       94.6017       36.2591       5.47117   -5.0185e-20
     0.515625     -0.984375           0.5       94.0045       36.2803       5.44825  -1.69707e-19
      0.53125     -0.984375           0.5       93.3629       36.3027       5.42218  -2.16499e-19
     0.546875     -0.984375           0.5       92.6177        36.326       5.40275  -1.32898e-19
       0.5625     -0.984375           0.5         92.04       36.3496       5.38646  -2.37756e-19
     0.578125     -0.984375           0.5        91.237       36.3737       5.36929  -4.54598e-19
      0.59375     -0.984375           0.5       90.4285       36.3977        5.3519   1.52326e-19
     0.609375     -0.984375           0.5       89.8111       36.4187       5.33425   3.14079e-19
        0.625     -0.984375           0.5       89.1781       36.4401       5.31837   1.22541e-19
     0.640625     -0.984375           0.5       88.5539       36.4624        5.3014    1.1117e-18
      0.65625     -0.984375           0.5       87.6164       36.4872       5.28935  -1.11755e-19
     0.671875     -0.984375           0.5       86.6171       36.5131       5.27469  -1.72834e-21
       0.6875     -0.984375           0.5       85.9874        36.534       5.25897   5.93586e-22
     0.703125     -0.984375           0.5       85.2898       36.5577       5.24666  -4.62912e-20
      0.71875     -0.984375           0.5       84.6216       36.5816       5.23424   -9.1521e-20
     0.734375     -0.984375           0.5       83.9079       36.6048       5.22261  -9.10136e-20
         0.75     -0.984375           0.5       83.1734       36.6275       5.21185  -5.54829e-20
     0.765625     -0.984375           0.5       82.4151       36.6502       5.20049  -2.79322e-20
      0.78125     -0.984375           0.5       81.5271        36.674       5.18876  -9.06088e-20
     0.796875     -0.984375           0.5       80.5518       36.6988       5.17694  -2.35732e-19
       0.8125     -0.984375           0.5       80.0387       36.7189       5.17014  -1.22601e-19
     0.828125     -0.984375           0.5       79.3629       36.7396       5.16134  -2.61433e-19
      0.84375     -0.984375           0.5       78.6816       36.7608       5.15248   4.29636e-19
     0.859375     -0.984375           0.5       77.9036       36.7821       5.14466    1.2529e-19
        0.875     -0.984375           0.5       77.2075       36.8038       5.13599    5.6921e-20
     0.890625     -0.984375           0.5       76.4529       36.8263       5.12825   3.83365e-22
      0.90625     -0.984375           0.5       75.6475       36.8493       5.12217  -2.42015e-20
     0.921875     -0.984375           0.5       74.8932       36.8714       5.11498   -3.4909e-20
       0.9375     -0.984375           0.5       74.2171       36.8915       5.11013   -2.4496e-20
     0.953125     -0.984375           0.5       73.5496        36.912       5.10486   1.76296e-20
      0.96875     -0.984375           0.5       72.8453       36.9325       5.10012  -7.97994e-20
     0.984375     -0.984375           0.5       72.1684       36.9549       5.09223   -1.0941e-19
            1     -0.984375           0.5        71.541       36.9725       5.09041  -1.59548e-19
      1.01562     -0.984375           0.5        70.796       36.9916       5.08514  -6.01949e-20
      1.03125     -0.984375           0.5        70.055       37.0119       5.07973  -2.44524e-20
      1.04688     -0.984375           0.5       69.4261        37.031       5.07468  -1.14761e-20
       1.0625     -0.984375           0.5       68.7691       37.0506       5.06959   2.57967e-22
      1.07812     -0.984375           0.5       68.1412       37.0689        5.0673  -2.88925e-20
      1.09375     -0.984375           0.5       67.5012       37.0867       5.06425  -9.89832e-20
      1.10938     -0.984375           0.5       66.8208        37.106       5.06205  -1.32485e-19
        1.125     -0.984375           0.5       66.1212       37.1273       5.05775   1.81275e-19
      1.14062     -0.984375           0.5       65.4233       37.1458       5.05626   1.02676e-19
      1.15625     -0.984375           0.5       64.8683       37.1634       5.05507  -4.43157e-19
      1.17188     -0.984375           0.5       64.1221       37.1833       5.05116   -3.7853e-20
       1.1875     -0.984375           0.5       63.5647       37.2001       5.04927   -3.8877e-20
      1.20312     -0.984375           0.5       62.9977       37.2166       5.04807   9.17226e-21
      1.21875     -0.984375           0.5       62.3694       37.2337        5.0464   5.89305e-20
      1.23438     -0.984375           0.5       61.7226        37.251       5.04487   4.26641e-20
         1.25     -0.984375           0.5       61.1199       37.2677       5.04337   9.93698e-20
      1.26562     -0.984375           0.5       60.4808       37.2854       5.04271   2.00751e-20
      1.28125     -0.984375           0.5        59.831       37.3026       5.04242   -3.9097e-20
      1.29688     -0.984375           0.5       59.1588       37.3197       5.04188  -7.08582e-20
       1.3125     -0.984375           0.5       58.5783       37.3364       5.04045  -4.65536e-19
      1.32812     -0.984375           0.5       58.0272       37.3525       5.03961  -2.81447e-19
      1.34375     -0.984375           0.5       57.4601       37.3685       5.03873   -2.3969e-19
      1.35938     -0.984375           0.5       56.9339       37.3843       5.03583   -1.1459e-19
        1.375     -0.984375           0.5       56.4097       37.3992        5.0348   5.63017e-20
      1.39062     -0.984375           0.5       55.7683       37.4146       5.03722   5.06003e-19
      1.40625     -0.984375           0.5       55.1819       37.4301       5.03773   4.66526e-19
      1.42188     -0.984375           0.5       54.6448       37.4449       5.03935   5.16889e-20
       1.4375     -0.984375           0.5       53.9769       37.4611         5.038   2.87826e-20
      1.45312     -0.984375           0.5        53.485       37.4752       5.03984   7.48928e-20
      1.46875     -0.984375           0.5       52.9524       37.4894       5.04184   4.63622e-19
      1.48438     -0.984375           0.5       52.4672       37.5033       5.04266   2.70056e-19
         -0.5      -0.96875           0.5       79.4833       36.2833       7.45266  -3.91453e-19
    -0.484375      -0.96875           0.5       80.4637       36.2595       7.43669  -2.87689e-19
     -0.46875      -0.96875           0.5        81.424       36.2388       7.41688  -2.29316e-19
    -0.453125      -0.96875           0.5       82.5199       36.2167       7.39373  -3.02268e-19
      -0.4375      -0.96875           0.5       83.5577       36.1937       7.37145  -3.50175e-19
    -0.421875      -0.96875           0.5       84.5973       36.1706       7.34951   -3.1439e-19
     -0.40625      -0.96875           0.5       85.4951       36.1501       7.32645  -2.25231e-19
    -0.390625      -0.96875           0.5       86.4027       36.1287       7.30395  -2.94135e-20
       -0.375      -0.96875           0.5       87.3087       36.1114       7.27971    5.1076e-21
    -0.359375      -0.96875           0.5       88.4991       36.0849       7.25462   1.24613e-20
     -0.34375      -0.96875           0.5       89.5096       36.0639       7.22526     1.074e-20
    -0.328125      -0.96875           0.5       90.6292       36.0391       7.19924   4.10399e-21
      -0.3125      -0.96875           0.5       91.4603       36.0166       7.17534   1.08492e-19
    -0.296875      -0.96875           0.5       92.2853       35.9989       7.14175  -2.44277e-20
     -0.28125      -0.96875           0.5        92.105        35.991       7.12111  -1.08227e-20
    -0.265625      -0.96875           0.5       93.3098        35.978        7.0757  -8.03345e-20
        -0.25      -0.96875           0.5       94.7345       35.9554        7.0408   -8.4719e-20
    -0.234375      -0.96875           0.5       95.4779       35.9419       7.01482   1.28304e-20
     -0.21875      -0.96875           0.5       96.2214       35.9285       6.98884    1.1038e-19
    -0.203125      -0.96875           0.5       96.9415       35.9153       6.95928   1.58295e-19
      -0.1875      -0.96875           0.5       97.6467       35.9005       6.92389   7.54106e-20
    -0.171875      -0.96875           0.5       98.3518       35.8857       6.88851  -7.47423e-21
     -0.15625      -0.96875           0.5       99.0158       35.8728       6.85254  -1.91061e-19
    -0.140625      -0.96875           0.5       99.4974       35.8644       6.81619  -6.30946e-19
       -0.125      -0.96875           0.5       99.9757       35.8561       6.77988  -1.08077e-18
    -0.109375      -0.96875           0.5       100.557       35.8501       6.74629  -7.47024e-19
     -0.09375      -0.96875           0.5       100.939       35.8455       6.71441  -4.42791e-19
    -0.078125      -0.96875           0.5       101.751       35.8344       6.67932  -4.46508e-20
